record_type,epoch,step,global_step,optimizer_step,train_step_loss,train_running_loss,train_epoch_loss,val_loss,val_wer,lr,elapsed_sec,best_wer
train_step,45,20,2088,106,4.743583679199219,4.594221138954163,,,,1.06e-05,,
train_step,45,21,2089,106,4.473790645599365,4.588486353556315,,,,1.06e-05,,
train_step,45,22,2090,107,4.85870361328125,4.600768956271085,,,,1.0700000000000001e-05,,
train_step,45,23,2091,107,4.181186199188232,4.582526227702266,,,,1.0700000000000001e-05,,
train_step,45,24,2092,108,4.387475967407227,4.574399133523305,,,,1.0800000000000002e-05,,
train_step,45,25,2093,108,4.4730939865112305,4.570346927642822,,,,1.0800000000000002e-05,,
train_step,45,26,2094,109,4.285159111022949,4.559378165465135,,,,1.0899999999999999e-05,,
train_step,45,27,2095,109,4.522292137145996,4.558004608860722,,,,1.0899999999999999e-05,,
train_step,45,28,2096,110,4.007542610168457,4.53834525176457,,,,1.1e-05,,
train_step,45,29,2097,110,4.102407455444336,4.523312913960424,,,,1.1e-05,,
train_step,45,30,2098,111,4.824001312255859,4.533335860570272,,,,1.11e-05,,
train_step,45,31,2099,111,4.4933342933654785,4.532045487434633,,,,1.11e-05,,
train_step,45,32,2100,112,4.1173906326293945,4.51908752322197,,,,1.1200000000000001e-05,,
train_step,45,33,2101,112,4.795887470245361,4.527475400404497,,,,1.1200000000000001e-05,,
train_step,45,34,2102,113,4.619338035583496,4.530177242615643,,,,1.13e-05,,
train_step,45,35,2103,113,4.83240270614624,4.538812255859375,,,,1.13e-05,,
train_step,45,36,2104,114,4.55158805847168,4.539167139265272,,,,1.1400000000000001e-05,,
train_step,45,37,2105,114,4.4425201416015625,4.536555058247334,,,,1.1400000000000001e-05,,
train_step,45,38,2106,115,3.600008010864258,4.5119090833162,,,,1.15e-05,,
train_step,45,39,2107,115,4.268895149230957,4.505677956801194,,,,1.15e-05,,
train_step,45,40,2108,116,4.1444091796875,4.496646237373352,,,,1.16e-05,,
train_step,45,41,2109,116,4.561471939086914,4.498227352049293,,,,1.16e-05,,
train_step,45,42,2110,117,4.593141078948975,4.5004872026897615,,,,1.17e-05,,
train_step,45,43,2111,117,4.545110702514648,4.501524958499642,,,,1.17e-05,,
train_step,45,44,2112,118,4.568118095397949,4.503038438883695,,,,1.18e-05,,
train_step,45,45,2113,118,4.345052242279053,4.499527634514703,,,,1.18e-05,,
train_step,45,46,2114,119,4.2110981941223145,4.493257429288781,,,,1.1900000000000001e-05,,
train_step,45,47,2115,120,4.209551811218262,4.4872211395426,,,,1.2e-05,,
epoch_summary,45,47,2115,120,,,4.4872211395426,nan,nan,1.2e-05,9.330451250076294,0.21612232079767607
train_step,46,1,2116,120,4.4773359298706055,4.4773359298706055,,,,1.2e-05,,
train_step,46,2,2117,121,4.576162338256836,4.526749134063721,,,,1.21e-05,,
train_step,46,3,2118,121,4.08746337890625,4.3803205490112305,,,,1.21e-05,,
train_step,46,4,2119,122,4.7541608810424805,4.473780632019043,,,,1.22e-05,,
train_step,46,5,2120,122,4.057435035705566,4.390511512756348,,,,1.22e-05,,
train_step,46,6,2121,123,4.514136791229248,4.411115725835164,,,,1.23e-05,,
train_step,46,7,2122,123,4.749000549316406,4.459384986332485,,,,1.23e-05,,
train_step,46,8,2123,124,3.812959671020508,4.3785818219184875,,,,1.2400000000000002e-05,,
train_step,46,9,2124,124,4.362649917602539,4.3768116103278265,,,,1.2400000000000002e-05,,
train_step,46,10,2125,125,4.325416564941406,4.371672105789185,,,,1.25e-05,,
train_step,46,11,2126,125,4.785688400268555,4.4093099507418545,,,,1.25e-05,,
train_step,46,12,2127,126,4.26506233215332,4.397289315859477,,,,1.26e-05,,
train_step,46,13,2128,126,4.422305583953857,4.399213644174429,,,,1.26e-05,,
train_step,46,14,2129,127,4.421237945556641,4.400786808558872,,,,1.27e-05,,
train_step,46,15,2130,127,4.064149856567383,4.378344345092773,,,,1.27e-05,,
train_step,46,16,2131,128,4.702186584472656,4.398584485054016,,,,1.2800000000000001e-05,,
train_step,46,17,2132,128,4.310817718505859,4.393421734080595,,,,1.2800000000000001e-05,,
train_step,46,18,2133,129,3.79919171333313,4.360408955150181,,,,1.29e-05,,
train_step,46,19,2134,129,3.984212875366211,4.34060916147734,,,,1.29e-05,,
train_step,46,20,2135,130,4.443875312805176,4.345772469043732,,,,1.3000000000000001e-05,,
train_step,46,21,2136,130,4.354718208312988,4.346198456627982,,,,1.3000000000000001e-05,,
